Store Name,Address,Road Address,Longitude,Latitude,Link,Category
발발빈티지,서울특별시 성동구 성수동2가 310-55 지하1층,서울특별시 성동구 연무장길 30 지하1층,1270526763,375431730,,"남성, 여성, 빈티지"
레씨토,서울특별시 성동구 성수동2가 316-44 3층,서울특별시 성동구 연무장길 37 3층,1270536518,375430767,,"남성, 스트릿"
키스 서울,서울특별시 성동구 성수동2가 322-5 1층,서울특별시 성동구 연무장길 70 1층,1270569745,375418749,https://kr.kith.com,"남성, 여성, 스트릿, 캐주얼"
제이콥앤잭,서울특별시 성동구 성수동1가 685-383 지하1층,서울특별시 성동구 서울숲길 50 지하1층,1270429476,375479065,http://www.jnjshop.kr,"남성, 여성, 빈티지"
슬로우스테디클럽 디스커버리 서울숲점,서울특별시 성동구 성수동1가 685-400,서울특별시 성동구 서울숲길 44 1층,1270423436,375479162,http://www.slowsteadyclub.com,"남성, 여성, 편집샵, 스트릿, 캐주얼"
블루수비르,서울특별시 성동구 성수동1가 668-51 지하1층,서울특별시 성동구 서울숲4길 24 지하1층,1270434803,375470481,https://www.instagram.com/blue_subir,"남성, 여성, 빈티지, 편집샵"
하이카라,서울특별시 성동구 성수동1가 668-68 B01,서울특별시 성동구 서울숲4길 18-7 B01,1270428552,375470138,http://www.highkalla.com,"남성, 여성, 빈티지, 명품"
풋볼스탠다드 성수점,서울특별시 성동구 성수동1가 668-32 1F,서울특별시 성동구 서울숲4길 28-3 1F,1270440110,375468842,https://www.instagram.com/football_standard/,"남성, 여성, 스트릿"
플라스틱프로덕트 성수,서울특별시 성동구 성수동2가 271-2 4층,서울특별시 성동구 연무장길 89 4층,1270594396,375413998,https://www.instagram.com/plastic_product/,"남성, 여성, 스트릿, 캐주얼"
누마레,서울특별시 성동구 성수동2가 322-19 1층 누마레,서울특별시 성동구 성수이로14길 3 1층 누마레,1270562388,375410929,http://www.nouvmaree.com/,"남성, 여성, 미니멀, 스트릿"
비이커 성수점,서울특별시 성동구 성수동2가 301-72 (성수동2가) 비이커 성수 플래그십스토어,서울특별시 성동구 연무장길 7-1 (성수동2가) 비이커 성수 플래그십스토어,1270504957,375439858,http://www.ssfshop.com/beaker,"남성, 여성, 편집샵, 미니멀, 캐주얼, 스트릿, 고프코어, 아메카지, 클래식"
더 기어샵 성수,"서울특별시 성동구 성수동2가 302-41 1, 2, 3 층","서울특별시 성동구 연무장3길 12 1, 2, 3 층",1270517870,375446590,https://www.instagram.com/thegearshop_official/,"남성, 여성, 편집샵, 고프코어"
카시나 성수점,서울특별시 성동구 성수동2가 333-93,서울특별시 성동구 성수이로7길 41,1270530724,375425876,https://www.instagram.com/kasina_official/,"남성, 여성, 편집샵, 스트릿, 고프코어"
튠,서울특별시 성동구 성수동2가 309-128 1층,서울특별시 성동구 성수이로7가길 3 1층,1270547375,375406460,https://tune.kr,"남성, 여성, 편집샵, 스트릿, 고프코어"
유스,서울특별시 성동구 성수동2가 277-46 1층,서울특별시 성동구 성수이로24길 36 1층,1270618773,375439988,https://youth-lab.kr,"남성, 여성, 미니멀, 캐주얼"
